Category,Name,Material,Quantity,TotalLength,TotalArea,TotalVolume
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:210969,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:210970,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:210971,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:210972,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:210973,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:210974,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211538,,1,2550.193761,0.0,10510534.731221
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211539,,1,4955.000038,0.0,19885500.154497
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211540,,1,2550.193761,0.0,10510534.731221
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211541,,1,4955.000038,0.0,19885500.154497
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211542,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211543,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211544,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211545,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211546,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211547,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211548,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211549,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211550,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211551,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211552,,1,2550.193761,0.0,10510534.731221
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211553,,1,4955.000038,0.0,19885500.154497
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211554,,1,2550.193761,0.0,10510534.731221
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211555,,1,4955.000038,0.0,19885500.154497
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211556,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211557,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211558,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:211559,,1,117.39704,0.0,384333.008167
